Id,Name
1092,Divebomb
1094,Firestorm
1095,Fireball
1096,Hatch
1098,Magitek Ray
1099,Magitek Ray
1100,Magitek Ray
1101,Magitek Ray
1102,Foul Breath
1103,Frost Breath
1104,Hoofkick
1105,Stampede
1106,Big Horn
1107,Stone Throw
1108,Soil Smear
1109,Ripe Banana
1110,Thunderstrike
1111,Thunderstorm
1112,Sticky Web
1113,Caustic Spray
1114,Deadly Thrust
1115,Deadly Thrust
1116,Wing Cutter
1117,Bloodcurdling Caw
1118,Yolk Shower
1119,Infusion
1120,Bristle
1121,Bellowing Grunt
1122,Big Burst
1123,Glacier Ice
1124,Deflagration
1126,Hell Slash
1127,Soul Drain
1128,Doomsay
1129,Seedvolley
1130,Sour Sough
1131,Swift Sough
1132,Sticky Tongue
1133,Crypsis
1134,Languid Lap
1135,Microblaster
1136,Circle Blaster
1137,Wild Eye
1138,Blaster
1139,Stone Cold
1140,Megablaster
1141,Iron Justice
1142,King's Will
1143,Blade of Suffering
1144,Blade of Absolution
1145,Blade of Repentance
1146,Mind Blast
1147,Drain Touch
1148,Acid Mist
1149,Acid Mist
1150,Acid Mist
1151,Heavy Pollen
1152,Bombardier
1153,Infestation
1154,Spoil
1155,Somersault Slash
1156,Nutshell
1157,Nutshell
1158,Nutshell
1159,Scamper
1160,Blood Drain
1161,Ultrasonics
1162,Ultrasonics
1163,Aqueous Discharge
1164,Viscous Discharge
1165,Mucous Discharge
1166,Agitation
1167,Agitation
1168,Agitation
1169,Snap Jaw
1170,Corrosive Spit
1171,Corrosive Spit
1172,Proboscis
1173,Blood Drain
1174,Blood Drain
1175,Glowlight
1176,Nascent Flash
1177,Transcendence
1178,Hypha Whip
1179,Queasy Cloud
1180,Slumber Cloud
1181,Romp
1182,Jittering Jig
1183,Frenetic Flurry
1184,Haste
1185,Bomb Toss
1186,Bomb Toss
1187,Firecracker Shower
1188,Wild Rattle
1189,Dripping Fang
1190,Stone Gaze
1191,Backflip
1192,Tail Chase
1193,Fireball
1194,Bombination
1195,Whipcrack
1196,Whimsy a la Mode
1197,Tortoise Stomp
1198,Harden Shell
1199,Lateral Slash
1200,Whetstone
1201,Smite of Rage
1202,Grand Slam
1203,Swiftfeather
1204,Swift Gust
1205,Canopy
1206,Arboreal Storm
1207,Acorn Bomb
1208,Stone Skull
1209,Boulder Clap
1210,True Grit
1211,Stagnant Spray
1212,Garish Light
1213,Peculiar Light
1219,Backhand Blow
1220,????
1221,Extinction Impact
1222,Meteor Impact
1223,Plaincracker
1224,Rockslide
1225,Compaction
1227,Cold Caress
1228,Sweet Steel
1229,Devastate
1230,Infuriate
1231,Faze
1232,Sandslinger
1233,Body Slam
1234,Cold Gaze
1235,Stone Gaze
1236,Run Amok
1237,"10,000 Needles"
1238,Zillion Needles
1239,"100,000 Needles"
1240,Hammer Beak
1241,Petribreath
1242,Numbing Breath
1243,Poison Breath
1244,Slumber Breath
1245,Howl
1246,Foul Bite
1247,Sanguine Bite
1248,Cursed Gaze
1249,Dread Gaze
1250,Level 5 Petrify
1251,Vulcanize
1252,Shatter
1253,Burning Cyclone
1254,Levinshower
1255,Levinfang
1256,Head Butt
1257,Seismic Scream
1258,Lanolin
1259,Trap Jaws
1260,Acid Spray
1261,Drill Cannons
1262,Cermet Drill
1263,Overcharge
1264,Sand Breath
1265,Sandstorm
1266,Poison Breath
1267,Earthbreak
1268,Earthquake
1270,Grand Sword
1271,the Deep Reaches
1272,System Evaluation
1273,Magitek Ray
1274,Overheat
1275,Exhaust
1276,Magitek Field
1277,Gnaw
1278,Seaspray
1279,Sandspray
1280,Feeding Frenzy
1281,Pulverizing Pound
1282,Horrisonous Blast
1283,Tremblor
1284,Khoomii
1285,Sonorous Blast
1286,Bottomless Desert
1287,Soil Coat
1288,Spine Stream
1289,Titan's Boon
1290,Titan's Anger
1293,Water Cannon
1294,Hydroball
1295,Lacerate
1296,Jumping Thrust
1297,Ambuscade
1299,Spinning Kick
1300,Groundburst
1301,Bubble Shower
1302,Big Scissors
1303,Bubble Shower
1304,Crab Dribble
1305,Peck
1306,Fowl Stench
1307,Rancid Belch
1308,Flying Sardine
1309,Regurgitate
1310,Beatdown
1311,Inhale
1312,Swallow
1313,Spit
1314,Moldy Sneeze
1315,Sickly Sneeze
1316,Black Hole
1317,Worm Hole
1318,the Look
1319,Rotten Breath
1320,Curse
1321,Malice
1322,Pervasion
1323,Numbing Tendrils
1324,Irritating Tendrils
1325,Bleat
1326,Fleece Butt
1327,Lullaby
1328,Fey Light
1329,Fey Glow
1330,Catapult
1331,Mighty Strikes
1332,Aqua Vitae
1333,Bone Powder
1334,Beak Snap
1335,Overtone Shriek
1336,Shriek
1337,Bad Breath
1338,Sweet Breath
1339,Vine Probe
1340,Counter Maneuvers
1341,Shred
1342,the Hand
1343,Death by Claw
1345,Straight Punch
1346,Elbow Drop
1347,Heartburn
1348,Absent-mindedness
1349,Hot Hands
1350,Hot Horns
1351,Double Smash
1352,Corrupted Tail
1353,Grim Cleaver
1354,Grim Halo
1355,Desolation
1356,Hellssend
1357,Grim Fate
1358,10-tonze Swipe
1359,10-stone Swing
1360,100-tonze Swipe
1361,100-tonze Swing
1362,Glower
1363,Surge of Vigor
1364,Eye of the Beholder
1365,Baleful Roar
1366,Storm
1367,Curl
1368,Gouge
1369,Shining Amber
1371,Downburst
1372,Luminous Lance
1373,Shining Emerald
1374,Frog Song
1375,Tiny Song
1376,Veil of the Whorl
1378,Superior Stone II
1380,Salivous Snap
1381,Dragon Breath
1382,Granite Rain
1383,Toxic Vomit
1384,Touchdown
1385,???????:??????
1386,Thunderous Breath
1387,??
1388,attack
1389,Sear
1390,Incinerate
1391,Vulcan Burst
1392,Eruption
1393,Radiant Plume
1394,Crimson Cyclone
1395,Hellfire
1396,?????:????
1397,?????:??
1398,?????:??????
1399,?????:???
1400,?????:????
1401,????:??
1402,????:??
1403,Friction
1404,Downburst
1405,Wicked Wheel
1406,Slipstream
1407,Mistral Song
1408,Mistral Shriek
1409,Aerial Blast
1414,Mirage
1417,Realm Shaker
1418,Sticky Web
1419,Silkscreen
1420,Deadly Thrust
1421,Tail Molt
1422,Dark Mist
1423,Pain Mire
1424,Digest
1425,Fluid Spread
1426,Fluid Spread
1427,Fluid Spread
1428,Fluid Spread
1429,Blood Drain
1430,Rock Buster
1431,Tumult
1432,Mountain Buster
1433,Weight of the Land
1434,Rock Throw
1435,Boulder Throw
1436,Landslide
1437,Geocrush
1438,Earthen Fury
1442,Pod Burst
1443,Silken Fingers
1444,Self-destruct
1445,Shatterstone
1446,Summer's Heat
1447,Bomb Toss
1448,Cannibalize
1449,Colossal Slam
1450,Immortalize
1457,Magitek Missiles
1459,Guided Missile Kyrios
1474,Choco Strike
1475,Choco Guard
1476,Choco Kick
1477,Choco Drop
1478,Choco Blast
1479,Choco Rush
1480,Choco Beak
1481,Choco Slash
1482,Choco Meteor Storm
1483,Choco Surge
1484,Choco Cure
1485,Choco Regen
1486,Rake
1487,Flame Breath
1488,Peck
1490,Hiss
1491,Cap Bump
1493,Lap
1494,Labored Leap
1495,Drop of Venom
1496,Nerve Sever
1497,Sanguine Bite
1498,Bog Bomb
1500,Lunge
1501,Electric Velitation
1502,Sprout Smack
1503,Sprout Spin
1504,Stolon
1505,Small Claw
1506,Occult Aqua Breath
1507,Screwdriver
1508,?????????
1509,Dark Orb
1510,Condemnation
1511,Bloody Claw
1512,Wings of Woe
1513,Painful Whip
1514,Gas Shell
1515,Bearclaw
1516,Alternate Plumage
1517,Gust
1518,Sharp Sting
1519,Final Sting
1520,Foreburst
1521,Wind Shear
1522,Zephyr Mantle
1523,Loop
1524,Slowcall
1525,Mow
1526,Triclip
1527,Frightful Roar
1528,Mortal Ray
1529,Obliterate
1530,Obliterate
1531,Caudal Swipe
1532,Crushing Fangs
1533,Flatten
1534,Alarum
1535,Standing Chine
1536,Big Hug
1537,Dissever
1538,White Breath
1539,Hopelessness
1540,Ball of Fire
1542,Ball of Ice
1544,Radiant Breath
1545,Miasma Breath
1546,Dark Wave
1547,Dark Thorn
1548,Soul Douse
1551,Hopelessness
1552,Evil Eye
1553,Chaos Breath
1556,Stun
